,Aspect_Ratio_H_W,Centroid_X_TV,Centroid_Y_P,Height_P_Range,Hull_Area,P_Max,Perimeter,Polynomial_Area,TV_Max,Width_TV_Range,ft_P_1,ft_P_2,ft_P_3,ft_TV_1,ft_TV_2,ft_TV_3
4764,0.3725782414307007,5.108361749999997,2.8910249999999995,17.85,521.174957,17.85,125.41891750421085,392.74148500000035,47.90939999999998,47.90939999999998,2312.8199999999997,1736.2228650808672,551.2260907991773,4086.6893999999966,3596.123513647463,2648.0514013323404
4765,0.32470732535345453,6.914765250000032,2.766325,17.79,591.4035800000001,17.79,133.9537738560284,463.9091950000003,54.78780000000001,54.78780000000001,2213.06,1735.9978601825478,748.5707517524827,5531.812200000026,4038.9259892030695,3070.014755997395
4766,0.30791279718946585,8.916634249999998,3.8883000000000005,18.09,578.0890370000003,18.09,143.72133703761583,378.34133299999996,58.75040000000001,58.75040000000001,3110.6400000000003,1356.979838817027,968.6396456437307,7133.3074,5231.630578138224,3005.7535573474656
4767,0.26303204208512665,21.00537800000003,2.3982124999999996,17.6,798.4605040000004,17.6,140.46512095201157,683.3094320000004,66.91200000000002,66.91200000000002,1918.5700000000002,1703.5283798280793,1160.7386004829411,16804.302400000022,2675.8841653290538,2432.376341864849
4768,0.3384819913586509,8.63079825000002,2.1106625,19.35,665.7533280000002,19.35,130.30757630369186,517.8131880000002,57.16700000000001,57.16700000000001,1688.5300000000002,1541.3436839193853,1153.420762429024,6904.638600000015,2953.8882429604887,2685.838291797935
4769,0.29345773067805847,8.928379999999997,3.8890374999999993,18.52,597.3013890000001,18.52,136.90551778192537,289.775978,63.1096,63.1096,3111.23,1626.9381407667802,689.6355047180025,7142.703999999997,5559.1142281757975,3343.015428069983
4770,0.2647014629015466,18.61847200000003,2.970975,19.73,965.6260929999999,19.73,161.05165915961143,778.2283340000004,74.5368,74.5368,2376.7799999999997,1900.2227797806202,922.7334758793165,14894.777600000027,5355.941800984702,4293.927315925414
4771,0.2340357417629229,13.150917250000004,4.57045,18.13,897.34682,18.13,172.8345650675488,555.245097,77.4668,77.4668,3656.3599999999997,1652.0294938393956,1140.4062691978893,10520.733800000002,8128.996992853349,5133.174563236482
4772,0.2667670254796516,17.48086025000001,3.1142624999999997,17.65,784.1261049999998,17.65,144.21514657313762,652.809459,66.16260000000001,66.16260000000001,2491.4100000000003,1905.4786074604624,728.7464420762398,13984.688200000006,4020.9097481276976,3125.980528538468
4773,0.26441982472227643,10.280210750000004,4.4180375,17.59,715.4323180000001,17.59,155.2496710976326,456.47868,66.52300000000002,66.52300000000002,3534.4300000000003,1558.1588063160555,1054.2297116578702,8224.168600000005,6195.916721728181,3732.1192795062043
4774,0.28730012841321667,9.874784750000055,3.6932124999999996,17.63,694.9391390000005,17.63,145.5659191079059,540.3694610000008,61.364400000000025,61.364400000000025,2954.57,1821.1152258873071,543.4514595455557,7899.827800000045,4921.154834934693,3187.3267093780623
4775,0.32929134293256723,7.409912750000014,3.029375,16.69,534.0122290000003,16.69,123.1513888507109,412.70355300000034,50.68460000000001,50.68460000000001,2423.5,1802.4279420786072,571.9666061593571,5927.930200000012,3774.234734398309,2766.51546834183
4776,0.4505470486590811,5.970698250000009,3.1738,21.85,684.1848640000002,21.85,140.16142837391175,354.13108200000016,48.49660000000002,48.49660000000002,2539.04,2225.7100969751104,1427.8505451447297,4776.558600000007,3808.188623675326,3241.000786576469
4777,0.4923067322778491,4.74467125,3.0141500000000003,22.09,628.919923,22.09,130.64296405664953,317.92779700000017,44.8704,44.8704,2411.3199999999997,2136.321044789762,1425.6402099728791,3795.736999999999,3359.1605898394373,2931.1114160962143
4778,0.46106140489885744,6.814393000000013,3.0546875,21.53,651.4919850000005,21.53,136.04884670311014,344.12682500000034,46.69660000000003,46.69660000000003,2443.75,2179.34606965923,1493.6339169085647,5451.514400000011,3203.9424605673366,2850.795925449965
4779,0.4487530092722192,4.8832102499999985,3.0574249999999994,20.84,604.7346259999999,20.84,128.0048696202065,224.01870700000023,46.439799999999984,46.439799999999984,2445.94,2149.1165227941065,1388.8124455579812,3906.568199999999,3622.381446480618,3101.656158005828
4780,0.4467347021096366,5.397695999999997,3.026675,22.15,671.284669,22.15,134.76160248025096,281.14067100000045,49.581999999999994,49.581999999999994,2421.34,2156.1299096191437,1467.5417472346678,4318.156799999999,4031.7326108402485,3494.2900687156025
4781,0.4250570100160353,5.189012250000001,2.9958500000000003,21.1,614.0075970000004,21.1,128.81374868458576,219.44979600000008,49.64040000000001,49.64040000000001,2396.6800000000003,2121.2370881649745,1409.1714807939682,4151.2098000000005,3892.7196395202295,3340.2625351771267
4782,0.5333640756826448,4.2338822500000015,2.7029375000000004,22.67,640.717931,22.67,129.41171945931796,346.40720499999986,42.50380000000001,42.50380000000001,2162.3500000000004,1932.4888218462877,1334.6723552729275,3387.105800000001,3141.2201237229165,2788.1989925098324
4783,0.30515733570547016,11.233742750000001,3.9054374999999997,20.72,856.9364709999999,20.72,155.0426549170075,164.6401599999998,67.8994,67.8994,3124.3500000000004,2492.1380590529297,1048.901005056217,8986.994200000005,7939.1936696344,5490.9653221501385
4784,0.48587273444549733,4.544711000000001,2.821025,21.43,561.6059080000001,21.43,125.00432783370573,225.277022,44.10620000000001,44.10620000000001,2256.82,2041.0954155866602,1471.019204291578,3635.7688000000007,2743.7243514861525,2525.8436004553932
4785,0.5374577659214506,12.074709500000019,2.694075,21.92,576.3470990000004,21.92,122.1099975097059,363.69888400000036,40.78460000000002,40.78460000000002,2155.26,1973.7494423010755,1487.1533397007477,9659.767600000017,1662.6743940380786,1517.747722324728
4786,0.3765307034532074,6.312358250000001,3.0040750000000003,20.22,710.4657640000001,20.22,134.0146662533122,221.03196799999992,53.7008,53.7008,2403.26,2061.405849305361,1213.865503370361,5049.886600000002,4630.734097271079,3965.501828487609
4787,0.5770495894015697,6.770574500000001,2.06005,20.35,465.8893430000001,20.35,103.89164192323423,276.40911700000004,35.265600000000006,35.265600000000006,1648.04,1568.4509214711018,1344.1460322049954,5416.459600000002,1560.9172482674153,1483.461597656198
4788,1.6469948749805867,3.0553264999999983,0.9079625000000001,21.21,149.89266600000005,21.21,55.92679502882178,95.05882,12.878000000000004,12.878000000000004,726.37,720.2131157905661,701.9504949366906,2444.261199999998,221.09136225466963,219.7416080450779
4789,0.6064662573116434,3.0209874999999995,2.1685375,20.84,417.84574300000014,20.84,99.57698758100723,87.16404800000007,34.363,34.363,1734.83,1635.438185314908,1358.1110452947944,2416.7899999999995,2260.914795579641,2109.712200785273
4790,0.585611276327046,3.307666,2.2142625,23.0,496.58260900000005,23.0,105.54864662851678,105.91621999999997,39.275200000000005,39.275200000000005,1771.4099999999999,1657.21749520433,1340.9907103432056,2646.1328000000003,2517.548897338907,2295.5300074239876
4791,0.5600982033713752,3.839588000000001,2.7571249999999994,21.81,499.73801999999995,21.81,111.67481647164021,179.27627099999987,38.9396,38.9396,2205.7,1955.182449592113,1302.2926703852058,3071.670400000001,2809.5640157720454,2348.833939049711
4792,0.5808394305185027,3.299702500000001,2.1479375000000003,21.99,498.541508,21.99,107.5706815580444,216.80851200000012,37.85900000000001,37.85900000000001,1718.35,1618.4597347042802,1339.4917823272149,2639.7620000000006,2545.74906537533,2329.7838256562513
4793,0.7952608138290141,1.9046422499999993,1.9259125,24.07,387.351636,24.07,96.14499984336011,142.31422600000005,30.266799999999993,30.266799999999993,1540.73,1464.4588026552751,1249.1363471235109,1523.7137999999995,1440.9467504040126,1339.514234343191
4794,0.4373240120400038,5.672321,3.414125,22.52,570.2277630000001,22.52,132.74029276143395,61.14899900000019,51.495000000000005,51.495000000000005,2731.3,2151.9194752781627,845.447406477971,4537.8568000000005,3990.489205010641,2986.3832789984376
