,Breath_ID,Time_Step,Flow,Pressure,Target_Class_0,Target_Class_1,Target_Class_2,Target_Class_3,Target_Class_4,Polynomial_Area,Hull_Area,ft_TV_1,ft_TV_2,ft_TV_3,ft_P_1,ft_P_2,ft_P_3,TV_Max,TV_Min,P_Max,P_Min,Perimeter,Width_TV_Range,Height_P_Range,Centroid_X_TV,Centroid_Y_P,Dynamic_Compliance,Aspect_Ratio_H_W,Curvature
36,36,0,2.14,4.85,0,1,0,0,0,323.5630840000001,446.2645100000001,5358.434000000003,579.1986504307181,566.7002302503223,1805.67,1767.435780748165,1657.995736781333,21.021600000000003,0.0,33.5,0.0,136.89880484512616,21.021600000000003,33.5,6.698042500000003,2.2570875,0.6275104477611941,1.5935989648742244,3.381205562280389
37,37,0,2.17,5.16,0,1,0,0,0,211.09170500000002,313.50857900000017,3524.4788000000035,428.8749912687156,417.70682466252345,1738.64,1708.9720272749632,1623.1450726316411,14.879000000000003,0.0,36.05,0.0,134.5485252916191,14.879000000000003,36.05,4.405598500000004,2.1733,0.412732316227462,2.4228778815780623,17.45507067800454
38,38,0,2.11,5.05,0,0,0,0,0,223.71437400000002,342.17706700000014,1939.9285999999993,814.5536388822662,778.7736477283365,1837.02,1790.3209874336405,1657.924223536501,17.599,0.0,33.35,0.0,108.70333198354538,17.599,33.35,2.424910749999999,2.296275,0.5277061469265367,1.8949940337519178,7.072958536027291
39,39,0,2.16,5.01,0,1,0,0,0,369.0927589999999,493.81509300000005,4321.826399999998,881.7855123793335,841.0317807498259,1901.06,1842.0442757642631,1676.8433754427474,22.937399999999997,0.0,33.2,0.0,118.90293106251241,22.937399999999997,33.2,5.402282999999998,2.376325,0.6908855421686746,1.4474177544098288,1.2996855517878203
40,40,0,2.2,4.91,0,1,0,0,0,388.1997259999999,550.8840109999999,4310.5981999999985,1016.447039499456,957.4035692320786,1979.1100000000001,1903.7711445721945,1696.0181831913096,23.809999999999995,0.0,35.82,0.0,126.6455998434958,23.809999999999995,35.82,5.388247749999998,2.4738875,0.6647124511446119,1.5044099118017642,1.2251095829282346
41,41,0,2.05,5.13,0,1,0,0,0,399.5965839999999,541.480606,3979.4121999999934,1086.1066871955486,1028.7953225385122,1932.35,1868.9087773118463,1691.9922756049234,24.395599999999998,0.0,33.6,0.0,117.77300006892891,24.395599999999998,33.6,4.974265249999991,2.4154375,0.7260595238095238,1.3772975454590173,1.284977772657071
42,42,0,2.13,5.06,0,0,0,0,0,361.72146800000024,510.01110500000027,2605.8065999999994,1351.4139315495265,1248.5676017262524,2031.53,1940.8803818527692,1694.1200922159694,23.783800000000006,0.0,35.3,0.0,118.06367569939168,23.783800000000006,35.3,3.2572582499999987,2.5394125,0.6737620396600569,1.4842035334975903,7.0406875930518495
43,43,0,2.15,4.97,0,1,0,0,0,405.19914899999986,538.4590729999999,4444.837799999992,1071.355312283399,1008.7482966131961,1982.76,1904.4478253616915,1689.1912842814352,24.325599999999998,0.0,34.49,0.0,114.50853002958807,24.325599999999998,34.49,5.556047249999991,2.4784500000000005,0.705294288199478,1.4178478639786893,1.2482504921780329
44,44,0,1.98,5.22,0,0,0,0,0,364.92561499999994,519.5892469999999,1953.3209999999958,1377.974586504288,1273.078763836705,2076.6099999999997,1971.010139188738,1687.21352526367,23.502799999999997,0.0,32.99,0.0,118.47753562656636,23.502799999999997,32.99,2.4416512499999947,2.5957625,0.7124219460442557,1.4036625423353817,1.5171949183895093
45,45,0,2.04,5.15,0,0,0,0,0,403.9450119999999,567.793495,3076.724999999998,1602.2631904803584,1387.3492716673936,2311.44,2109.8953925729693,1604.475688284327,25.2938,0.0,36.01,0.0,153.87048983770717,25.2938,36.01,3.845906249999997,2.8893,0.7024104415440157,1.4236690414251711,34.11967442804578
